params,train_mean,train_std,test_mean,test_std
{'n_neighbors': 10},0.6374906015785636,0.002552596712108029,0.5870575843298427,0.002773464921948761
{'n_neighbors': 20},0.5615506697172999,0.001318081434055365,0.5303165209000739,0.0068473242943467285
{'n_neighbors': 30},0.5211680775663566,0.0013011506809326133,0.4948532577555442,0.00620695431103431
{'n_neighbors': 40},0.4916677145008238,0.0013706895349387773,0.46990351046459045,0.006194381325911883
{'n_neighbors': 50},0.46627856052892414,0.0009690304986727947,0.44727605051482,0.00664554050614355
{'n_neighbors': 60},0.445871522340923,0.0030495098845099446,0.4277242326753373,0.006722702468117625
{'n_neighbors': 70},0.4299052351653475,0.003920235557320702,0.4144490513326732,0.0054631854893609725
{'n_neighbors': 80},0.41876413702788734,0.0024442209987823615,0.40271156299395133,0.004251978992166243
{'n_neighbors': 90},0.41032984489659957,0.0026521900647877334,0.39618380331571845,0.00594539439231189
{'n_neighbors': 100},0.40388838529036475,0.003899913584650348,0.3880555415191739,0.0065726070004342866
{'n_neighbors': 110},0.3959954748584036,0.004236708570819671,0.3792054058489258,0.00675931281622514
{'n_neighbors': 120},0.385238790432079,0.0064603954143353836,0.3705435546954455,0.006394725115498485
{'n_neighbors': 130},0.37894643105531634,0.0051922128371630575,0.3649573259520681,0.004913015414237981
{'n_neighbors': 140},0.3730463583806539,0.004632437184914625,0.36031264784373107,0.0054468622183482095
{'n_neighbors': 150},0.36760133504259107,0.006094928535244885,0.35551100358750215,0.005806611970894963
{'n_neighbors': 160},0.3638588669296049,0.005204882482768582,0.3526865683844144,0.005541920433867259
{'n_neighbors': 170},0.3586178386967946,0.005601314503430979,0.3464726080257174,0.0035837018135438476
{'n_neighbors': 180},0.3556834844772164,0.007153981611141738,0.3418279102171955,0.004838951382960105
{'n_neighbors': 190},0.3534160283003678,0.007697848741297804,0.3376853208702084,0.00474384622419353
{'n_neighbors': 200},0.3494460285940507,0.006646086455468346,0.3359278033535427,0.0033256188138424195
{'n_neighbors': 210},0.34077639989766223,0.00483511062134757,0.3295569605727395,0.003921790110345356
{'n_neighbors': 220},0.3340211622057555,0.006670550669851694,0.3249435417327239,0.005385957164190455
{'n_neighbors': 230},0.32862325708738616,0.008656283462367591,0.32007901448643244,0.006747387784224672
{'n_neighbors': 240},0.32615180765195995,0.007783133084981577,0.31668962230707093,0.00643499721814362
{'n_neighbors': 250},0.3253672324010844,0.008085684811443157,0.3132060435439096,0.006363556298054999
{'n_neighbors': 260},0.32175814531242825,0.008653703535117867,0.30931458230338305,0.005724227238198507
{'n_neighbors': 270},0.3164621957348296,0.009970893495675566,0.3052661105895488,0.005420437103087018
{'n_neighbors': 280},0.31158208750638017,0.010267544632143834,0.3020649487514466,0.005238362249885639
{'n_neighbors': 290},0.30617628354359666,0.007840026651700763,0.29833036993302625,0.0061706879362665185
{'n_neighbors': 300},0.3026378126903172,0.0066554796416954136,0.29607073410473345,0.005201699957644844
{'n_neighbors': 310},0.30062142213264453,0.007089828424081854,0.2937484122882267,0.006014345426707412
{'n_neighbors': 320},0.299593626553433,0.007219021613178323,0.29130046731793513,0.006290620385769855
{'n_neighbors': 330},0.2961414628249893,0.008627693829335916,0.28766001598276,0.006243506879568021
{'n_neighbors': 340},0.2946193717571118,0.008941791896957187,0.28565142946018834,0.005913253005313354
{'n_neighbors': 350},0.2928226588841135,0.009311933629065211,0.28370570622749436,0.006712085226416818
{'n_neighbors': 360},0.28938618758402485,0.009320500185164152,0.28292105278969887,0.006734874062459668
{'n_neighbors': 370},0.287832701502725,0.007797979163123168,0.2807870204150061,0.006816804786921397
{'n_neighbors': 380},0.28574569778746733,0.007368608048318534,0.2786215219200509,0.006766433041976378
{'n_neighbors': 390},0.28485913375567157,0.007795115995521533,0.2789980761784478,0.007297823342664354
{'n_neighbors': 400},0.28313304081139995,0.006858640390750907,0.2764247247564048,0.006316430213984765
{'n_neighbors': 410},0.2818463333988349,0.007418619300526881,0.27504384522392167,0.005999139835153022
{'n_neighbors': 420},0.28007317271065224,0.006600899729727252,0.27290983254941376,0.004042696197163165
{'n_neighbors': 430},0.2763934484576364,0.005550001468691903,0.2724390769320784,0.005253346928227504
{'n_neighbors': 440},0.27341200310293107,0.003173417709731659,0.26895563114516485,0.005244547446399346
{'n_neighbors': 450},0.27157607023909514,0.002496509657905284,0.2659114305299084,0.004521331655817966
{'n_neighbors': 460},0.2685554119724728,0.002470981787338422,0.26415398688893593,0.0038512952471978714
{'n_neighbors': 470},0.2663977938685134,0.0026515522679133245,0.2615177918772001,0.005453221474788623
{'n_neighbors': 480},0.2633065341399142,0.0022176064181511925,0.2595720587944137,0.00586290834375675
{'n_neighbors': 490},0.2611881603413463,0.0028273217197289577,0.25765760960517975,0.0038183534344041767
{'n_neighbors': 500},0.25932086693535417,0.002804878005240099,0.2554608272166722,0.005014558147508191
