params,train_mean,train_std,test_mean,test_std
{'var_smoothing': 5},0.6761845390848015,0.006692041039906257,0.39044624654927007,0.015066594166038512
{'var_smoothing': 10},0.7141550320540546,0.0068925991826536805,0.42730373396666793,0.010865795585056967
{'var_smoothing': 20},0.7561255506537361,0.0071783316785679115,0.4558601905746363,0.01615548187832682
{'var_smoothing': 30},0.6858043565320748,0.009052301104866938,0.4153536459807457,0.010579369328192215
{'var_smoothing': 40},0.5355414972655537,0.012598645956767662,0.3414350114238133,0.010588476808700672
{'var_smoothing': 50},0.34259884855300216,0.008375656820835251,0.27966950928877016,0.01012038336474275
{'var_smoothing': 60},0.2541012594151777,0.004311907883514986,0.22114328374126807,0.006067646272953288
{'var_smoothing': 70},0.20220811267136343,0.007306429383655463,0.18306773480345712,0.012689386085060856
{'var_smoothing': 80},0.15988274078986575,0.002703014027466032,0.14560378031822602,0.009566634604121814
{'var_smoothing': 90},0.1243928119463427,0.0032296061763499306,0.11380866240888639,0.011599236045720992
