model,mean_acc_top1,std_top1,mean_acc_top3,std_top3,mean_acc_top5,std_top5,E-type
AC_PLT,0.593600952054513,0.002849133985879598,0.6482315806498085,0.004314144410670983,0.6714003597310534,0.0038059922501358493,Train
AC_PLT,0.5432153499112359,0.008695054390787016,0.6106267032656701,0.005727678032890885,0.6381185279352068,0.006868089364521062,Test
GaussianNB,0.5945973661625854,0.0011551321812070523,0.7549272258325846,0.002601101325771137,0.8046306205930371,0.0015317606684586062,Train
GaussianNB,0.5340197714995258,0.004314285318459565,0.6863232156138938,0.007207118860265961,0.7361600931582342,0.003794530517700454,Test
KNeighborsClassifier,0.6604789245048678,0.002138304952646225,0.8871924525187393,0.0009701755863116157,0.950877186308508,0.001554972808722238,Train
KNeighborsClassifier,0.6024983872936172,0.006252892940489113,0.7601998987607501,0.007064407286953608,0.796102436627214,0.0077512280080773155,Test
DecisionTreeClassifier,0.45468242413491416,0.0023654643871543527,0.5268328173692682,0.0029482361805981123,0.5610250176876068,0.00343792961394878,Train
DecisionTreeClassifier,0.4062582069738851,0.009772261302891645,0.4548398035142963,0.011142725559707684,0.47542741767317376,0.013059732025950887,Test
SVC,0.5878419825833558,0.010887833870038548,0.7508550951513744,0.014332802269550655,0.8023787925186987,0.010143489254828842,Train
SVC,0.5112356606048213,0.01226551047227983,0.6602753307685663,0.01190282945481111,0.7137525611471575,0.010665883747245766,Test
RandomForestClassifier,0.37968488587541754,0.010816141147806267,0.421162198025206,0.011120502151869644,0.4348699349278243,0.012115432790238363,Train
RandomForestClassifier,0.3129610232447041,0.014464301386899938,0.342147099611782,0.014847415542925627,0.354718616109641,0.01493963158411102,Test
XGBClassifier,0.2647179283924494,0.05347884960499512,0.27550404984673954,0.0567713224228854,0.28004870140623855,0.057259739802689745,Train
XGBClassifier,0.20746201559237404,0.04160627255729836,0.2258768691231816,0.046307739141582385,0.23419885260113604,0.0474194283435894,Test
