model,mean_acc_top1,std_top1,mean_acc_top3,std_top3,mean_acc_top5,std_top5,E-type
AC_PLT,0.5990224345955892,0.003962395563539633,0.6346974909097887,0.003891994837782987,0.6464348727012766,0.0036551183400696527,Train
AC_PLT,0.5449726408757756,0.007697256879798858,0.590572762189514,0.007988440985967854,0.6058878385735333,0.007326193641651288,Test
GaussianNB,0.5686747047134403,0.0035477798827670036,0.6920427649542924,0.001984623445498756,0.7317662763454422,0.0019186719210948274,Train
GaussianNB,0.5042369286072196,0.006049839199768286,0.6198221930265482,0.010059450851640029,0.6542811407470842,0.010438227717072056,Test
KNeighborsClassifier,0.6598748041778165,0.0018273971237506854,0.8922765610846872,0.0013262103646508728,0.957522611473196,0.001055899749742382,Train
KNeighborsClassifier,0.6084299011769778,0.007666139287630866,0.7614866951354039,0.010085709427959754,0.7973893118026073,0.009242976347815646,Test
DecisionTreeClassifier,0.41156165312447585,0.002826143299181038,0.47849455338298147,0.004115350528088058,0.5082695327136102,0.004444875077098904,Train
DecisionTreeClassifier,0.36947684878601056,0.010968807153523743,0.41369612504258935,0.011188076364705722,0.43155330343042275,0.01199178070629583,Test
SVC,0.5892072900227605,0.0030229068010688286,0.7235202952010894,0.0033850180563468287,0.7654092484424975,0.002105270212290504,Train
SVC,0.4989958668027161,0.005317154117793021,0.6208888644606597,0.004537206901381964,0.663068196425421,0.005287496905887188,Test
RandomForestClassifier,0.561721745547937,0.00947464779816387,0.6014357955714151,0.01055206197827918,0.6065263920987729,0.010432271970958116,Train
RandomForestClassifier,0.4079261633944643,0.009698683100167953,0.4343087569070624,0.008599811214966835,0.4411552874869276,0.007728819269720415,Test
XGBClassifier,0.11037738101795128,0.009582380458428042,0.11945927630388871,0.010883008219311765,0.12466053147096727,0.011852593897959176,Train
XGBClassifier,0.09290009127343178,0.009480251076538333,0.1020779454991853,0.009729597492963754,0.10815715749724183,0.010840285043563916,Test
