model,mean_acc_top1,std_top1,mean_acc_top3,std_top3,mean_acc_top5,std_top5,E-type
AC_PLT,0.5871359744269495,0.0029883868184880096,0.6358351304096935,0.002125313169168332,0.6540374830576035,0.002387295995854739,Train
AC_PLT,0.5404219178740665,0.005093942556401926,0.600395624037338,0.004707444627123834,0.622050254383562,0.005102591256879163,Test
GaussianNB,0.587104575412398,0.0023041168302719408,0.7193305845699485,0.00165765834306974,0.7674020717341754,0.0019916055086921488,Train
GaussianNB,0.528872935679192,0.006703767889971215,0.6486007401950455,0.00796116408590056,0.6947027384931467,0.005146423607986389,Test
KNeighborsClassifier,0.638055499452544,0.00206698057375237,0.8625172735668551,0.002169339757496648,0.9231342545693032,0.0015271273261089433,Train
KNeighborsClassifier,0.5877165653633911,0.0026644679451605846,0.7379803065132061,0.005336861604484708,0.7680769585751409,0.006593942519009629,Test
DecisionTreeClassifier,0.40820361565047925,0.0009476710255883219,0.48175840520115265,0.0013746726043667675,0.5158878216482297,0.0016267132323098687,Train
DecisionTreeClassifier,0.3687863228314603,0.010264999273506386,0.41994133481951534,0.010845181245856896,0.4407799490336517,0.012795176841668672,Test
SVC,0.5653480511728162,0.007290399890460617,0.7170161677563371,0.01034621973403528,0.7666411320762684,0.013593758417791568,Train
SVC,0.4865995057814625,0.0075093905381623475,0.6257844293481928,0.008766472495401646,0.6753074090720731,0.010804963349420894,Test
XGBClassifier,0.28712383131162894,0.030116020501973345,0.3010452521485664,0.03339067421032158,0.30559760996987445,0.033472138036961765,Train
XGBClassifier,0.16106773627517074,0.020802102078119222,0.18937997713304716,0.021707385981130874,0.2026555749755219,0.021679594072280643,Test
RandomForestClassifier,0.41221302022337064,0.003712904358602298,0.4524066127915073,0.004476765926401233,0.46045566253654197,0.004076539694391878,Train
RandomForestClassifier,0.33804503307382905,0.008189100711938088,0.36740813975445824,0.010700206457300984,0.3749628743150084,0.010101617124439707,Test
RandomForestClassifier,0.41221302022337064,0.003712904358602298,0.4524066127915073,0.004476765926401233,0.46045566253654197,0.004076539694391878,Train
RandomForestClassifier,0.33804503307382905,0.008189100711938088,0.36740813975445824,0.010700206457300984,0.3749628743150084,0.010101617124439707,Test
