model,mean_acc_top1,std_top1,mean_acc_top3,std_top3,mean_acc_top5,std_top5,E-type
AC_PLT,0.4462333842738099,0.0035747262956018055,0.5085563340798196,0.004518160701114247,0.532806871517866,0.002417701408089862,Train
AC_PLT,0.32381649705277926,0.009063131109465158,0.41251861240663035,0.008907805600034013,0.4471460976500171,0.005575473808292327,Test
GaussianNB,0.6188236145952475,0.007044822404780273,0.8116143261279791,0.003777879248652015,0.8770253581051424,0.002908289623271482,Train
GaussianNB,0.2835140223718051,0.007814199720368377,0.4793423821419342,0.010021505638816099,0.559735467966151,0.017636498216177212,Test
KNeighborsClassifier,0.49721535647120263,0.0013373685368968024,0.7399756382777632,0.0025547370129317256,0.8542930647264433,0.00448183767315056,Train
KNeighborsClassifier,0.39935620557121115,0.015719035472836023,0.5530577671675097,0.009073784905212426,0.611380332992875,0.009469271283572896,Test
DecisionTreeClassifier,0.35515423430696924,0.004183994966169334,0.4266913103236162,0.004937142600720066,0.46532036433654034,0.0051747775972776034,Train
DecisionTreeClassifier,0.2225647998884281,0.013000624286394818,0.2472722313147845,0.015844718697791693,0.2622569106891615,0.01612195067097849,Test
SVC,0.3348027001656366,0.013400033654685489,0.45129700860862015,0.017846577679349687,0.4897741382569386,0.012877771606660449,Train
SVC,0.29140916940469014,0.009263284818322186,0.4297275512841022,0.009370383430161566,0.47630697037191994,0.0036380943070160863,Test
RandomForestClassifier,0.3008980599012839,0.011772444597574925,0.35711275285862687,0.013106561872025574,0.370182532447661,0.01357101192904007,Train
RandomForestClassifier,0.15718815141317627,0.008582517524607257,0.18655707457566068,0.012859591128789217,0.20100679453483966,0.014678103156466171,Test
XGBClassifier,0.20926221212358437,0.022762597733544256,0.21957138010955096,0.024503841436588646,0.22385957171222595,0.026689549881123757,Train
XGBClassifier,0.1184228012638235,0.010005378748016288,0.14873234694011328,0.011925715380113515,0.1609504344652038,0.014799117842009756,Test
