embedding,type,mean_acc_top1,std_top1,mean_acc_top3,std_top3,mean_acc_top5,std_top5,E-type
E5,Norm.,0.4281150913289771,0.016616932477206407,0.5066875453773549,0.010602091382078427,0.5358500588623769,0.01228340339494073,Test
Word2Vec,Norm.,0.3809248981701389,0.00941552726652473,0.45990651752129913,0.013132761774990514,.4813718010246566,0.0150441640163613,Test
LaBSE,Norm.,0.32381649705277926,0.009063131109465158,0.41251861240663035,0.008907805600034013,0.4471460976500171,0.005575473808292327,Test
BETO,Norm.,0.2211471805536755,0.010907637386673774,0.2636741198331344,0.011554669611376439,0.2839246233423165,0.01223556232452423,Test
CANINE,Norm.,0.1593806529416832,0.011239072250831804,0.1686969059309485,0.012431685540432705,0.17375989072517628,0.013450267972138675,Test
E5,Lemm.,0.4017837146056631,0.00702818679493623,0.4896754980741543,0.01156623872538244,0.5182288782512747,0.009338732932744077,Test
Word2Vec,Lemm.,0.3959097826399058,0.010087902422679568,0.46233300107880176,0.0074613573845101495,0.48622948533362864,0.011669498391714767,Test
LaBSE,Lemm.,0.3173365082099685,0.010506281902149535,0.3971276390649291,0.013631729874463304,0.4313521118672295,0.01234000574575198,Test
BETO,Lemm.,0.2290441734450693,0.014594253007515625,0.2663071344482319,0.017172240025317406,0.29182264171065964,0.018304336512409276,Test
CANINE,Lemm.,0.16464442612258962,0.008755458800458887,0.17375722448510805,0.009255632653419608,0.181048570690228,0.009705493011796407,Test
E5,Norm.,0.5333129827731482,0.004665103589215212,0.5883958491521134,0.005834856054126556,0.6049511451995808,0.0052766820914281936,Train
Word2Vec,Norm.,0.49473488205197214,0.0035080086073245413,0.5462232730697885,0.004074981039458645,0.5639429466662822,0.003979161046999696,Train
LaBSE,Norm.,0.4462333842738099,0.0035747262956018055,0.5085563340798196,0.004518160701114247,0.532806871517866,0.002417701408089862,Train
BETO,Norm.,0.3681149781020027,0.006764295077733776,0.3971247400914365,0.00731937961214218,0.4101360270913629,0.00615715897107894,Train
CANINE,Norm.,0.29905855591758534,0.003319502221187739,0.30483011831646534,0.003891255724788712,0.31050049178384576,0.004870491357182242,Train
E5,Lemm.,0.5125559752538213,0.004710662039364377,0.5705246997235117,0.0026882893585751214,0.5905226364740219,0.002472398190579364,Train
Word2Vec,Lemm.,0.49584843446139254,0.00315689029714227,0.5472861284917454,0.005904649283010474,0.5626769316532588,0.006907860357130056,Train
LaBSE,Lemm.,0.4442085035353972,0.004707075699419864,0.5009114692963486,0.0033350136914170876,0.5229346071656271,0.005073838793436631,Train
BETO,Lemm.,0.36750735753486535,0.003067117011266327,0.3924163406796549,0.004034220774492663,0.4068958667730329,0.0038987159676828046,Train
CANINE,Lemm.,0.30052670530453757,0.002910185193066323,0.3057920154807788,0.0034022937579036546,0.3106522111050239,0.003909714432577406,Train
