,mean,std,model,emb-type,stand-type,E-type,min,max,ec-type
0,0.6272077774286495,0.0066622408053325,k-means,E5,Top5.,Train,0.620545536623317,0.633870018233982,E5 Top5. k-means
1,0.5537590432600028,0.0085188621004698,k-means,E5,Top5.,Test,0.545240181159533,0.5622779053604726,E5 Top5. k-means
2,0.9690852187021708,0.0043577926132535,Naïve Bayes,E5,Top5.,Train,0.9647274260889173,0.9734430113154243,E5 Top5. Naïve Bayes
3,0.730792115753728,0.0152566122681296,Naïve Bayes,E5,Top5.,Test,0.7155355034855985,0.7460487280218576,E5 Top5. Naïve Bayes
4,0.9009207154526684,0.0054688644175644,KNN,E5,Top5.,Train,0.8954518510351039,0.9063895798702328,E5 Top5. KNN
5,0.6808688911855898,0.0101133121890869,KNN,E5,Top5.,Test,0.6707555789965028,0.6909822033746768,E5 Top5. KNN
6,0.5728675052499763,0.012506945702116,Decision Tree,E5,Top5.,Train,0.5603605595478603,0.5853744509520923,E5 Top5. Decision Tree
7,0.2534541562084748,0.0101767555266213,Decision Tree,E5,Top5.,Test,0.24327740068185347,0.26363091173509606,E5 Top5. Decision Tree
8,0.4609244657648103,0.015647070965433,SVM,E5,Top5.,Train,0.4452773947993773,0.4765715367302433,E5 Top5. SVM
9,0.4439288350804665,0.0067823127330465,SVM,E5,Top5.,Test,0.43714652234741996,0.450711147813513,E5 Top5. SVM
10,0.619948837478775,0.0478318525800678,Random Forest,E5,Top5.,Train,0.5721169848987072,0.6677806900588429,E5 Top5. Random Forest
11,0.294709483523095,0.022229721306061,Random Forest,E5,Top5.,Test,0.272479762217034,0.316939204829156,E5 Top5. Random Forest
12,0.3372894024948414,0.036474572247669,XGBoost,E5,Top5.,Train,0.3008148302471724,0.3737639747425104,E5 Top5. XGBoost
13,0.2070769283410749,0.0160869041151985,XGBoost,E5,Top5.,Test,0.1909900242258764,0.22316383245627341,E5 Top5. XGBoost
14,0.5683561653933727,0.0075436400157681,k-means,labse,Lemm.,Train,0.5608125253776046,0.5758998054091409,labse Lemm. k-means
15,0.4650494610955263,0.018753825235651,k-means,labse,Lemm.,Test,0.4462956358598753,0.4838032863311773,labse Lemm. k-means
16,0.9797425553539622,0.0014706352121554,Naïve Bayes,labse,Lemm.,Train,0.9782719201418068,0.9812131905661176,labse Lemm. Naïve Bayes
17,0.621344308282888,0.0178147351945337,Naïve Bayes,labse,Lemm.,Test,0.6035295730883543,0.6391590434774217,labse Lemm. Naïve Bayes
18,0.870198840259739,0.0074671981405139,KNN,labse,Lemm.,Train,0.8627316421192252,0.8776660384002529,labse Lemm. KNN
19,0.6071356858113096,0.0202233033697023,KNN,labse,Lemm.,Test,0.5869123824416073,0.627358989181012,labse Lemm. KNN
20,0.4273228668602331,0.0049501993542639,Decision Tree,labse,Lemm.,Train,0.4223726675059692,0.43227306621449696,labse Lemm. Decision Tree
