,mean,std,model,emb-type,stand-type,E-type,min,max,ec-type
0,0.519776814962179,0.0025792309329583,k-means,E5,Top5.,Train,0.5171975840292207,0.5223560458951373,E5 Top5. k-means
1,0.4155197106156799,0.0114845337693031,k-means,E5,Top5.,Test,0.4040351768463768,0.42700424438498297,E5 Top5. k-means
2,0.7632488299855424,0.009943361774156,Naïve Bayes,E5,Top5.,Train,0.7533054682113864,0.7731921917596984,E5 Top5. Naïve Bayes
3,0.4301070426694227,0.0103465197679101,Naïve Bayes,E5,Top5.,Test,0.41976052290151256,0.4404535624373328,E5 Top5. Naïve Bayes
4,0.521888968645732,0.0054429126305512,KNN,E5,Top5.,Train,0.5164460560151808,0.5273318812762832,E5 Top5. KNN
5,0.4400841576849254,0.0151995441201205,KNN,E5,Top5.,Test,0.42488461356480495,0.4552837018050459,E5 Top5. KNN
6,0.4092737294780985,0.0041671317302868,Decision Tree,E5,Top5.,Train,0.40510659774781166,0.4134408612083853,E5 Top5. Decision Tree
7,0.2027676066735567,0.0080824392604362,Decision Tree,E5,Top5.,Test,0.1946851674131205,0.2108500459339929,E5 Top5. Decision Tree
8,0.3065453543584248,0.0167059417850044,SVM,E5,Top5.,Train,0.2898394125734204,0.3232512961434292,E5 Top5. SVM
9,0.2519201240218515,0.0077134478562422,SVM,E5,Top5.,Test,0.2442066761656093,0.25963357187809366,E5 Top5. SVM
10,0.5812582058355579,0.0435111902856852,Random Forest,E5,Top5.,Train,0.5377470155498727,0.624769396121243,E5 Top5. Random Forest
11,0.2130323949324642,0.0150013087325424,Random Forest,E5,Top5.,Test,0.1980310861999218,0.2280337036650066,E5 Top5. Random Forest
12,0.2982405975497252,0.0341174016477265,XGBoost,E5,Top5.,Train,0.26412319590199873,0.3323579991974517,E5 Top5. XGBoost
13,0.140919524497937,0.0152972185769136,XGBoost,E5,Top5.,Test,0.12562230592102339,0.1562167430748506,E5 Top5. XGBoost
14,0.47513391010124,0.0069907665865587,k-means,labse,Lemm.,Train,0.46814314351468134,0.4821246766877987,labse Lemm. k-means
15,0.3195068654953492,0.0178774220080433,k-means,labse,Lemm.,Test,0.30162944348730586,0.3373842875033925,labse Lemm. k-means
16,0.8311241353319027,0.009558276976417,Naïve Bayes,labse,Lemm.,Train,0.8215658583554857,0.8406824123083196,labse Lemm. Naïve Bayes
17,0.4059176140558098,0.0061396092839214,Naïve Bayes,labse,Lemm.,Test,0.3997780047718884,0.41205722333973116,labse Lemm. Naïve Bayes
18,0.4551651104867757,0.0034233031237224,KNN,labse,Lemm.,Train,0.4517418073630533,0.4585884136104981,labse Lemm. KNN
19,0.3663553816624834,0.01652844916706,KNN,labse,Lemm.,Test,0.3498269324954234,0.38288383082954336,labse Lemm. KNN
20,0.2930105515538916,0.0029792214635505,Decision Tree,labse,Lemm.,Train,0.2900313300903411,0.2959897730174421,labse Lemm. Decision Tree
21,0.1893260002952901,0.0063172283850291,Decision Tree,labse,Lemm.,Test,0.183008771910261,0.1956432286803192,labse Lemm. Decision Tree
22,0.3220986912608512,0.0129199626732843,SVM,labse,Lemm.,Train,0.3091787285875669,0.33501865393413555,labse Lemm. SVM
23,0.2492359368079137,0.0141970707268229,SVM,labse,Lemm.,Test,0.2350388660810908,0.2634330075347366,labse Lemm. SVM
24,0.2552538472165895,0.0124980278716238,Random Forest,labse,Lemm.,Train,0.2427558193449657,0.2677518750882133,labse Lemm. Random Forest
25,0.1514207178153594,0.0017231304210911,Random Forest,labse,Lemm.,Test,0.1496975873942683,0.1531438482364505,labse Lemm. Random Forest
26,0.2883898512810685,0.0295346102778792,XGBoost,labse,Lemm.,Train,0.2588552410031893,0.31792446155894766,labse Lemm. XGBoost
27,0.1363806411693085,0.0198749671439086,XGBoost,labse,Lemm.,Test,0.11650567402539991,0.1562556083132171,labse Lemm. XGBoost
28,0.4716776334885367,0.0067126401827199,k-means,labse,Norm.,Train,0.4649649933058168,0.4783902736712566,labse Norm. k-means
29,0.325654067621438,0.0068781147070727,k-means,labse,Norm.,Test,0.3187759529143653,0.33253218232851073,labse Norm. k-means
30,0.4509414020638695,0.0095087000483372,Naïve Bayes,labse,Norm.,Train,0.4414327020155323,0.4604501021122067,labse Norm. Naïve Bayes
31,0.2822604458880849,0.0112508539928518,Naïve Bayes,labse,Norm.,Test,0.2710095918952331,0.2935112998809367,labse Norm. Naïve Bayes
32,0.4603490186068926,0.0045890599207848,KNN,labse,Norm.,Train,0.4557599586861078,0.4649380785276774,labse Norm. KNN
33,0.3628990107780895,0.0196092479615764,KNN,labse,Norm.,Test,0.3432897628165131,0.38250825873966593,labse Norm. KNN
34,0.2961789202971132,0.0043018593224978,Decision Tree,labse,Norm.,Train,0.29187706097461535,0.300480779619611,labse Norm. Decision Tree
35,0.1812542447955115,0.0171405824217931,Decision Tree,labse,Norm.,Test,0.1641136623737184,0.1983948272173046,labse Norm. Decision Tree
36,0.3221941076791096,0.0138753259986331,SVM,labse,Norm.,Train,0.3083187816804765,0.3360694336777427,labse Norm. SVM
37,0.2473135981101432,0.0112561539713719,SVM,labse,Norm.,Test,0.2360574441387713,0.2585697520815151,labse Norm. SVM
38,0.2524473957474497,0.0109827741153722,Random Forest,labse,Norm.,Train,0.24146462163207746,0.26343016986282186,labse Norm. Random Forest
39,0.1442548253080241,0.0032715580247712,Random Forest,labse,Norm.,Test,0.14098326728325292,0.1475263833327953,labse Norm. Random Forest
40,0.2963303993618055,0.0254971336037429,XGBoost,labse,Norm.,Train,0.2708332657580626,0.3218275329655484,labse Norm. XGBoost
41,0.1478436169636416,0.0097303503635166,XGBoost,labse,Norm.,Test,0.138113266600125,0.1575739673271582,labse Norm. XGBoost
42,0.5033600769597223,0.0022514653340302,k-means,word2vec,Norm.,Train,0.5011086116256921,0.5056115422937525,AC-PLT
