params,train_mean,train_std,test_mean,test_std
{'max_leaf_nodes': 100},0.1191275145853157,0.0029289797219611666,0.08505490403586709,0.003332070648425059
{'max_leaf_nodes': 200},0.1761847697586575,0.0038794144292603637,0.11320383610417206,0.005180191367999131
{'max_leaf_nodes': 300},0.22164831848370384,0.0036174927719258856,0.12231683956208032,0.005373266441831598
{'max_leaf_nodes': 400},0.2697955140342615,0.005051151356820429,0.12920291727682548,0.006372803280026269
{'max_leaf_nodes': 500},0.31206950972194186,0.003988022491917448,0.13183572679653308,0.004705284676030217
{'max_leaf_nodes': 600},0.3535843321190918,0.002773439199755092,0.13183552170114324,0.006333613705278884
{'max_leaf_nodes': 700},0.39489661005545784,0.0028437403610985477,0.13284828273630064,0.007129233710111072
{'max_leaf_nodes': 800},0.4279564154564298,0.00351590440669604,0.13467096546603824,0.006519430791962407
{'max_leaf_nodes': 900},0.4615228575364673,0.00206487942025369,0.13426651735722286,0.006391854516533826
{'max_leaf_nodes': 1000},0.4946841081732233,0.003266053873702649,0.13608837970540097,0.007360663546525305
{'max_leaf_nodes': 1100},0.5199473550999747,0.003343367031460711,0.13730336479496613,0.005005427947046213
{'max_leaf_nodes': 1200},0.5457169824015071,0.00376538671110748,0.13750599904015356,0.005582244801792751
{'max_leaf_nodes': 1300},0.5710814823358291,0.0030205915877049372,0.1415574533715631,0.007155488802765839
{'max_leaf_nodes': 1400},0.5957877800524782,0.0034518763142748253,0.14277059260261948,0.00601241917666826
{'max_leaf_nodes': 1500},0.6222155839412551,0.0031824468928062523,0.14661941268884157,0.009462408041487597
